Statement,Link,Date, Source, Label
“Walmart management is helping with rising prices with $500 grocery cards for $2.”,https://www.politifact.com/factchecks/2022/sep/06/facebook-posts/dont-fall-walmart-gift-card-offer/,ember 6^ 2022,Facebook posts,false
Bank of America “announced a new mortgage home loan program for first-time homebuyers. But only blacks and Hispanics will be eligible.”,https://www.politifact.com/factchecks/2022/sep/06/gateway-pundit/bank-americas-new-home-loan-program-does-not-exclu/,ember 6^ 2022,The Gateway Pundit,false
Says Mandela Barnes "supports stripping health care away from millions.",https://www.politifact.com/factchecks/2022/sep/06/national-republican-senatorial-committee/no-despite-claim-barnes-does-not-back-stripping-he/,ember 6^ 2022,National Republican Senatorial Committee,false
Gov. Ron DeSantis raised "taxes on the middle class by more than $1.5 billion while giving away $624 million to big corporations.",https://www.politifact.com/factchecks/2022/sep/02/charlie-crist/charlie-crist-misleads-ron-desantis-record-taxes/,ember 2^ 2022,Charlie Crist,barely-true
“60% of Alaska voters voted for a Republican^ but thanks to a convoluted process and ballot exhaustion — which disenfranchises voters — a Democrat ‘won.’",https://www.politifact.com/factchecks/2022/sep/02/tom-cotton/how-tom-cotton-misleads-about-ranked-choice-voting/,ember 2^ 2022,Tom Cotton,barely-true
Says “Tim Michels doesn’t think gay people should be out in public.”,https://www.politifact.com/factchecks/2022/sep/02/state-democratic-party-wisconsin/wisconsin-dems-exaggerate-claim-tim-michels-believ/,ember 2^ 2022,Democratic Party of Wisconsin,barely-true
Three churches were targeted during arson attacks over the summer “because they protect unborn babies and women in need.”,https://www.politifact.com/factchecks/2022/sep/01/catholicvote/catholic-groups-ad-attacking-biden-overstates-role/,ember 1^ 2022,CatholicVote,barely-true
Joe Biden and Raphael Warnock "are spending $1.5 billion on ‘urban forestry’ and raising taxes on those making under $200k to pay for it.”,https://www.politifact.com/factchecks/2022/sep/01/herschel-walker/what-herschel-walker-gets-wrong-and-right-about-fe/,ember 1^ 2022,Herschel Walker,half-true
“Sixty-four members of Congress — Republicans and Democrats — have broken a law to stop insider stock trading^ yet Washington refuses to do anything about it.”,https://www.politifact.com/factchecks/2022/sep/01/cheri-beasley/beasley-ad-half-right-about-stock-act-violations/,ember 1^ 2022,Cheri Beasley,half-true
In New York^ you need to show identification to buy whipped cream^ but not to vote.,https://www.politifact.com/factchecks/2022/sep/01/social-media/show-id-buy-whipped-cream-not-vote-new-york-s-misl/,ember 1^ 2022,Social Media,barely-true
"Water-fueled car can travel from LA to NY on 22 gallons.",https://www.politifact.com/factchecks/2022/aug/31/instagram-posts/claim-water-fueled-dune-buggy-defies-physics/,gust 31^ 2022,Instagram posts,false
The public health order Title 42 is "the last tool Border Patrol has to stop the overwhelming flood of illegal immigrants pouring into our country.”,https://www.politifact.com/factchecks/2022/aug/31/adam-laxalt/title-42-not-last-tool-border-patrol-has-prevent-i/,gust 31^ 2022,Adam Laxalt,false
"Documents prove White House behind entire FBI targeting of Trump. Biden lied.",https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/document-doesnt-prove-biden-lied-about-mar-lago-pr/,gust 31^ 2022,Facebook posts,false
The IRS is hiring 87^000 new agents to police people who will owe more federal tax after having their student loans forgiven.,https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/irs-not-expanding-its-workforce-because-bidens-stu/,gust 31^ 2022,Facebook posts,false
Fox News sought the legal "right to tell lies.",https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/viral-post-falsely-claims-fox-news-sought-legal-ri/,gust 31^ 2022,Facebook posts,false
“The Earth just started spinning faster than ever before and scientists are gravely concerned.”,https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/earth-spun-little-faster-recently-scientists-arent/,gust 31^ 2022,Facebook posts,half-true
El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”.,https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/putin-no-ha-anunciado-que-esta-arrepentido-de-inva/,gust 31^ 2022,Facebook posts,false
The U.K. is no longer recommending the Pfizer-BioNTech COVID-19 mRNA vaccine for pregnant women.,https://www.politifact.com/factchecks/2022/aug/31/instagram-posts/outdated-report-misconstrues-uks-covid-19-vaccine-/,gust 31^ 2022,Instagram posts,false
Joe Biden's student debt forgiveness plan is a "bailout for rich kids.",https://www.politifact.com/factchecks/2022/aug/31/american-action-network/most-relief-bidens-student-loan-forgiveness-plan-f/,gust 31^ 2022,American Action Network,barely-true
An obscure filing with the Federal Election Commission shows Biden has formally announced his bid for another term.,https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/no-fec-filing-doesnt-mean-joe-biden-has-announced-/,gust 31^ 2022,Facebook posts,false
Joe Biden threatened to assassinate Ukraine’s former president.,https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/biden-didnt-threaten-kill-former-ukrainian-preside/,gust 31^ 2022,Facebook posts,pants-fire
“Starbucks just announced that they’re going cashless.”,https://www.politifact.com/factchecks/2022/aug/31/instagram-posts/rumors-spread-starbucks-turning-its-stores-cashles/,gust 31^ 2022,Instagram posts,false
“Harvard is sitting on top of a $54 billion hedge fund they call an ‘endowment’ that they pay zero taxes on. Yale has $31 Billion. Stanford $29 Billion. Princeton $26 Billion.”,https://www.politifact.com/factchecks/2022/aug/31/charlie-kirk/some-university-endowments-are-taxed-there-are-lim/,gust 31^ 2022,Charlie Kirk,half-true
“The nonpartisan Congressional Budget Office says with the supersized staff^ the IRS audit rate ‘would rise for ALL taxpayers’ regardless of income^ and would even result in audits of innocent Americans who have paid their taxes and don’t owe the IRS anything.”,https://www.politifact.com/factchecks/2022/aug/31/joni-ernst/ernst-newsletter-skips-part-report-irs-audits/,gust 30^ 2022,Joni Ernst,half-true
Another continent may exist beneath Antarctica^ which is also home to homicidal sea creature of unknown origin,https://www.politifact.com/factchecks/2022/aug/30/facebook-posts/claim-about-hidden-antarctic-continent-and-killer-/,gust 30^ 2022,Facebook posts,pants-fire
The FBI “spent more time investigating” the Jan. 6 Capitol attack than 9/11.,https://www.politifact.com/factchecks/2022/aug/30/facebook-posts/jan-6-capitol-attack-investigation-nowhere-near-le/,gust 30^ 2022,Facebook posts,pants-fire
The National Guard was activated Jan. 6^ 2021^ and “is in complete control.”,https://www.politifact.com/factchecks/2022/aug/30/facebook-posts/no-us-military-has-not-taken-control-government/,gust 30^ 2022,Facebook posts,pants-fire
“In Arizona^ we have flood the zone with fake ballots.”,https://www.politifact.com/factchecks/2022/aug/30/mark-finchem/arizona-republican-secretary-state-candidate-wrong/,gust 30^ 2022,Mark Finchem,pants-fire
Student debt relief is taxable by the Internal Revenue Service.,https://www.politifact.com/factchecks/2022/aug/30/facebook-posts/irs-wont-tax-student-loan-relief-some-states-might/,gust 30^ 2022,Facebook posts,false
Instagram’s "precise location" feature can be used by criminals to target victims.,https://www.politifact.com/factchecks/2022/aug/30/instagram-posts/no-instagram-not-revealing-your-location-without-y/,gust 30^ 2022,Instagram posts,false
